,licese_year,region,license_count,x_point,y_point,accident_year,accident_outcome,accident_count
220,1999,Madinah,11108,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
221,1999,Madinah,11108,24.927534539,39.4918237173,2017,No. of Accidents,16070
222,2003,Madinah,12920,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
223,2003,Madinah,12920,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
224,2003,Madinah,12920,24.927534539,39.4918237173,2016,No. of Accidents,14475
225,2003,Madinah,12920,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
226,2003,Madinah,12920,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
227,2003,Madinah,12920,24.927534539,39.4918237173,2017,No. of Accidents,16070
228,2016,Madinah,24540,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
229,2016,Madinah,24540,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
230,2016,Madinah,24540,24.927534539,39.4918237173,2016,No. of Accidents,14475
231,2016,Madinah,24540,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
232,2016,Madinah,24540,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
233,2016,Madinah,24540,24.927534539,39.4918237173,2017,No. of Accidents,16070
234,2001,Madinah,13561,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
235,2001,Madinah,13561,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
236,2001,Madinah,13561,24.927534539,39.4918237173,2016,No. of Accidents,14475
237,2001,Madinah,13561,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
238,2001,Madinah,13561,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
239,2001,Madinah,13561,24.927534539,39.4918237173,2017,No. of Accidents,16070
240,2006,Madinah,11204,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
241,2006,Madinah,11204,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
242,2006,Madinah,11204,24.927534539,39.4918237173,2016,No. of Accidents,14475
243,2006,Madinah,11204,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
244,2006,Madinah,11204,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
245,2006,Madinah,11204,24.927534539,39.4918237173,2017,No. of Accidents,16070
246,2009,Madinah,11574,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
247,2009,Madinah,11574,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
248,2009,Madinah,11574,24.927534539,39.4918237173,2016,No. of Accidents,14475
249,2009,Madinah,11574,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
250,2009,Madinah,11574,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
251,2009,Madinah,11574,24.927534539,39.4918237173,2017,No. of Accidents,16070
252,2017,Madinah,36165,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
253,2017,Madinah,36165,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
254,2017,Madinah,36165,24.927534539,39.4918237173,2016,No. of Accidents,14475
255,2017,Madinah,36165,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
256,2017,Madinah,36165,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
257,2017,Madinah,36165,24.927534539,39.4918237173,2017,No. of Accidents,16070
258,2011,Madinah,14630,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
259,2011,Madinah,14630,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
260,2011,Madinah,14630,24.927534539,39.4918237173,2016,No. of Accidents,14475
261,2011,Madinah,14630,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
262,2011,Madinah,14630,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
263,2011,Madinah,14630,24.927534539,39.4918237173,2017,No. of Accidents,16070
264,1993,Madinah,4122,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
265,1993,Madinah,4122,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
266,1993,Madinah,4122,24.927534539,39.4918237173,2016,No. of Accidents,14475
267,1993,Madinah,4122,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
268,1993,Madinah,4122,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
269,1993,Madinah,4122,24.927534539,39.4918237173,2017,No. of Accidents,16070
270,2002,Madinah,10494,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
271,2002,Madinah,10494,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
272,2002,Madinah,10494,24.927534539,39.4918237173,2016,No. of Accidents,14475
273,2002,Madinah,10494,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
274,2002,Madinah,10494,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
275,2002,Madinah,10494,24.927534539,39.4918237173,2017,No. of Accidents,16070
276,2005,Madinah,10210,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
277,2005,Madinah,10210,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
278,2005,Madinah,10210,24.927534539,39.4918237173,2016,No. of Accidents,14475
279,2005,Madinah,10210,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
280,2005,Madinah,10210,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
281,2005,Madinah,10210,24.927534539,39.4918237173,2017,No. of Accidents,16070
282,2015,Madinah,22744,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
283,2015,Madinah,22744,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
284,2015,Madinah,22744,24.927534539,39.4918237173,2016,No. of Accidents,14475
285,2015,Madinah,22744,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
286,2015,Madinah,22744,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
287,2015,Madinah,22744,24.927534539,39.4918237173,2017,No. of Accidents,16070
288,1997,Madinah,10495,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
289,1997,Madinah,10495,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
290,1997,Madinah,10495,24.927534539,39.4918237173,2016,No. of Accidents,14475
291,1997,Madinah,10495,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
292,1997,Madinah,10495,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
293,1997,Madinah,10495,24.927534539,39.4918237173,2017,No. of Accidents,16070
294,2008,Madinah,9194,24.927534539,39.4918237173,2017,No. of Casualties - Dead,580
295,2008,Madinah,9194,24.927534539,39.4918237173,2016,No. of Casualties - Dead,822
296,2008,Madinah,9194,24.927534539,39.4918237173,2016,No. of Accidents,14475
297,2008,Madinah,9194,24.927534539,39.4918237173,2017,No. of Casualties - Injured,2917
298,2008,Madinah,9194,24.927534539,39.4918237173,2016,No. of Casualties - Injured,4184
299,2008,Madinah,9194,24.927534539,39.4918237173,2017,No. of Accidents,16070
300,1995,Qassim,49690,26.1967063704,43.3429998455,2017,No. of Accidents,22405
301,1995,Qassim,49690,26.1967063704,43.3429998455,2017,No. of Casualties - Injured,1446
302,1995,Qassim,49690,26.1967063704,43.3429998455,2016,No. of Accidents,25664
303,1995,Qassim,49690,26.1967063704,43.3429998455,2016,No. of Casualties - Injured,1513
304,1995,Qassim,49690,26.1967063704,43.3429998455,2017,No. of Casualties - Dead,319
305,1995,Qassim,49690,26.1967063704,43.3429998455,2016,No. of Casualties - Dead,397
306,1996,Qassim,42693,26.1967063704,43.3429998455,2017,No. of Accidents,22405
307,1996,Qassim,42693,26.1967063704,43.3429998455,2017,No. of Casualties - Injured,1446
308,1996,Qassim,42693,26.1967063704,43.3429998455,2016,No. of Accidents,25664
309,1996,Qassim,42693,26.1967063704,43.3429998455,2016,No. of Casualties - Injured,1513
310,1996,Qassim,42693,26.1967063704,43.3429998455,2017,No. of Casualties - Dead,319
311,1996,Qassim,42693,26.1967063704,43.3429998455,2016,No. of Casualties - Dead,397
312,2015,Qassim,13631,26.1967063704,43.3429998455,2017,No. of Accidents,22405
313,2015,Qassim,13631,26.1967063704,43.3429998455,2017,No. of Casualties - Injured,1446
314,2015,Qassim,13631,26.1967063704,43.3429998455,2016,No. of Accidents,25664
315,2015,Qassim,13631,26.1967063704,43.3429998455,2016,No. of Casualties - Injured,1513
316,2015,Qassim,13631,26.1967063704,43.3429998455,2017,No. of Casualties - Dead,319
317,2015,Qassim,13631,26.1967063704,43.3429998455,2016,No. of Casualties - Dead,397
318,2014,Qassim,29113,26.1967063704,43.3429998455,2017,No. of Accidents,22405
319,2014,Qassim,29113,26.1967063704,43.3429998455,2017,No. of Casualties - Injured,1446
320,2014,Qassim,29113,26.1967063704,43.3429998455,2016,No. of Accidents,25664
321,2014,Qassim,29113,26.1967063704,43.3429998455,2016,No. of Casualties - Injured,1513
322,2014,Qassim,29113,26.1967063704,43.3429998455,2017,No. of Casualties - Dead,319
